PassengerId,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Name_Master,Name_Miss,Name_Mr,Name_Mrs,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
1,-0.5303766406838785,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,0,0,1,0,0,1,0,0,1,0,0,1
2,0.571830994003175,0.4327933656785018,-0.4736736092984604,0.7868452935884461,1,0,0,0,0,0,1,1,0,1,0,0
3,-0.25482473201211503,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,0,0,1,0,1,0,0,1,0,0,0,1
4,0.36516706249935255,0.4327933656785018,-0.4736736092984604,0.4207302360686478,1,0,0,0,0,0,1,1,0,0,0,1
5,0.36516706249935255,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,0,1,0,0,1,0,0,1,0,0,1
6,0.0,-0.47454519624983954,-0.4736736092984604,-0.47811642890864375,0,0,1,0,0,1,0,0,1,0,1,0
7,1.6740386286902287,-0.47454519624983954,-0.4736736092984604,0.395813560675251,1,0,0,0,0,1,0,0,1,0,0,1
8,-1.9081361840426954,2.2474704895351842,0.7676298785983874,-0.22408312108167944,0,0,1,1,0,0,0,0,1,0,0,1
9,-0.1859367548441742,-0.47454519624983954,2.0089333664952354,-0.4242561406845337,0,0,1,0,0,0,1,1,0,0,0,1
10,-1.0814804580274051,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,0,1,0,0,0,0,1,1,0,1,0,0
11,-1.7703602297068137,0.4327933656785018,0.7676298785983874,-0.312172377522981,0,0,1,0,1,0,0,1,0,0,0,1
12,1.949590537361992,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,1,0,0,0,1,0,0,1,0,0,0,1
13,-0.6681525950197601,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,0,1,0,0,1,0,0,1,0,0,1
14,0.6407189711711159,0.4327933656785018,5.73284383018578,-0.01870931177853076,0,0,1,0,0,1,0,0,1,0,0,1
15,-1.0814804580274051,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,0,0,1,0,1,0,0,1,0,0,0,1
